FPR,TPR,Threshold
0.0,0.0,1.523
0.0,6.148737971531343e-06,0.523
0.0,1.2297475943062686e-05,0.5215
0.0,3.074368985765672e-05,0.5205
0.0,6.148737971531343e-05,0.52
0.0,0.00010452854551603283,0.5195
0.0,0.0001537184492882836,0.519
0.0,0.00023980078088972238,0.5186
0.0,0.00033818058843422386,0.518
7.15495241956641e-05,0.0004980477756940388,0.5176
0.0001192492069927735,0.0007624435084698865,0.517
0.0002146485725869923,0.0010637316690749225,0.5166
0.0003815974623768752,0.001377317305623021,0.516
0.0006677955591595316,0.001881513819288591,0.5156
0.0008585942903479692,0.0025025363544132566,0.515
0.0011686422285291803,0.0034555907400006147,0.5146
0.0017171885806959383,0.004420942601531036,0.514
0.0023372844570583606,0.006074953115872967,0.5137
0.0036013260511817595,0.008085590432563716,0.513
0.004603019389921057,0.010840225043809758,0.5127
0.005914760666841565,0.014166692286408215,0.512
0.007488850199146175,0.018366280320964122,0.5117
0.009563786400820435,0.023469732837335135,0.511
0.01304586324500942,0.029673809450610263,0.5107
0.017004936917169502,0.03734743443908138,0.5103
0.021751055355481885,0.04656439265840686,0.51
0.028238212215888764,0.05749684877178959,0.5093
0.03465381955209998,0.06990500199833984,0.509
0.044265305635717525,0.08602699295969503,0.5083
0.05504543394786425,0.10375380453161988,0.508
0.06658875718476472,0.12395240876810035,0.5073
0.08190035536263685,0.1469917299474283,0.507
0.1012425767368647,0.17220770436867833,0.5063
0.12294593240954947,0.20100839302733114,0.506
0.14739201984306805,0.23244074153779937,0.5054
0.17472393808581174,0.2668736741783749,0.505
0.20541868396575164,0.3025425031512282,0.5044
0.24248133749910564,0.3408860331416977,0.504
0.2816189272341339,0.381172564331171,0.5034
0.3232607503160104,0.4235250714790789,0.503
0.36509337212907533,0.4667138069911151,0.5024
0.4109327672970975,0.5102653180434715,0.502
0.45712991008609793,0.5548375195991023,0.5015
0.5064036824155119,0.5980324038491099,0.501
0.5551527582341578,0.6411780981953454,0.5005
0.5894488301652794,0.6722415224275218,0.5
0.6127978248944644,0.6923601930703723,0.4998
0.6353597748574972,0.7125526485688812,0.4995
0.6573493286269646,0.7313985304516248,0.4993
0.6794581316034248,0.7498877855320195,0.499
0.7019723818836605,0.7678605466228057,0.4988
0.7214815521476782,0.7854274910074707,0.4985
0.7416585179708555,0.8019860423648046,0.4983
0.7598082472751556,0.8181326282780459,0.498
0.7795082162703618,0.8329018968856642,0.4978
0.7974671468434735,0.8472653487871614,0.4976
0.8139712370912734,0.8604789866879823,0.4973
0.8298790813041094,0.8729732222461339,0.497
0.8453099286889743,0.8851046822639653,0.4968
0.8596675332109042,0.8957481476926861,0.4966
0.8727133964559136,0.9058874166077413,0.4963
0.88597390827351,0.9158483721216221,0.496
0.8969448353168451,0.9246103237310542,0.4958
0.9070810179112309,0.932800442709134,0.4956
0.9172649001884138,0.9402158207028007,0.4954
0.9270194853204227,0.9468195652842254,0.495
0.9345321853609674,0.9529867494696713,0.4949
0.9426172815950774,0.9583115565530175,0.4946
0.9494144863936654,0.9637470409198512,0.4944
0.9554007965847027,0.9682048759492115,0.4941
0.9609816594719646,0.972342976604052,0.494
0.9658470271172697,0.9760076244350847,0.4937
0.9704261966657922,0.9790389522550497,0.4934
0.9743375706551551,0.9819903464813847,0.4932
0.9777480979751485,0.9844436929320257,0.493
0.9813255741849317,0.9864420327727734,0.4927
0.9839252068973742,0.988428075137578,0.4924
0.986286341195831,0.9900083007962616,0.4922
0.988480526604498,0.9915024441233437,0.492
0.9902692647093897,0.9928182740492514,0.4917
0.9920580028142812,0.9940541703815292,0.4915
0.9935605428223903,0.9950502659329172,0.4912
0.9945622361611295,0.9958373043932732,0.491
0.9952538815616876,0.9964952193562271,0.4907
0.9959932266450429,0.9971592830571525,0.4905
0.9966848720456009,0.9976634795708181,0.4902
0.9971380190321735,0.9980139576351954,0.49
0.9976865653843402,0.9984197743413165,0.4897
0.9981158625295142,0.9987825498816368,0.4895
0.9984974599918911,0.9989362683309251,0.4893
0.9988313577714708,0.9990899867802133,0.489
0.9990460063440578,0.9992683001813878,0.4888
0.9992368050752463,0.9993851262028469,0.4885
0.9995468530134275,0.9994958034863344,0.4883
0.9996422523790217,0.9995449933901067,0.488
0.9997138019032173,0.9996495219356227,0.4878
0.999785351427413,0.9996864143634518,0.4875
0.9998330511102101,0.9997847941709964,0.4873
0.9998807507930072,0.9998524302886832,0.487
0.9998807507930072,0.9998585790266548,0.4868
0.9999046006344058,0.9998708765025979,0.4866
0.9999046006344058,0.9998831739785409,0.4863
0.9999284504758044,0.999895471454484,0.486
0.9999523003172028,0.9999139176683985,0.4858
0.9999523003172028,0.9999262151443417,0.4856
0.9999523003172028,0.9999446613582562,0.4854
0.9999523003172028,0.9999631075721708,0.4841
0.9999523003172028,0.9999877025240569,0.4836
0.9999523003172028,1.0,0.4832
1.0,1.0,0.482
